Sample,Stage,Embryo
earlyblast_2.8,earlyblast,earlyblast_2
earlyblast_2.10,earlyblast,earlyblast_2
earlyblast_2.12,earlyblast,earlyblast_2
earlyblast_2.15,earlyblast,earlyblast_2
earlyblast_2.16,earlyblast,earlyblast_2
earlyblast_2.17,earlyblast,earlyblast_2
earlyblast_2.19,earlyblast,earlyblast_2
earlyblast_2.22,earlyblast,earlyblast_2
earlyblast_3.1,earlyblast,earlyblast_3
earlyblast_3.2,earlyblast,earlyblast_3
earlyblast_3.3,earlyblast,earlyblast_3
earlyblast_3.4,earlyblast,earlyblast_3
earlyblast_3.6,earlyblast,earlyblast_3
earlyblast_3.7,earlyblast,earlyblast_3
earlyblast_3.8,earlyblast,earlyblast_3
earlyblast_3.9,earlyblast,earlyblast_3
earlyblast_3.10,earlyblast,earlyblast_3
earlyblast_3.12,earlyblast,earlyblast_3
earlyblast_3.13,earlyblast,earlyblast_3
earlyblast_3.14,earlyblast,earlyblast_3
earlyblast_3.15,earlyblast,earlyblast_3
earlyblast_3.16,earlyblast,earlyblast_3
earlyblast_3.17,earlyblast,earlyblast_3
earlyblast_4.1,earlyblast,earlyblast_4
earlyblast_4.2,earlyblast,earlyblast_4
earlyblast_4.3,earlyblast,earlyblast_4
earlyblast_4.5,earlyblast,earlyblast_4
earlyblast_4.6,earlyblast,earlyblast_4
earlyblast_4.8,earlyblast,earlyblast_4
earlyblast_4.9,earlyblast,earlyblast_4
earlyblast_4.12,earlyblast,earlyblast_4
earlyblast_4.13,earlyblast,earlyblast_4
earlyblast_4.14,earlyblast,earlyblast_4
earlyblast_4.16,earlyblast,earlyblast_4
earlyblast_4.17,earlyblast,earlyblast_4
earlyblast_4.18,earlyblast,earlyblast_4
midblast_1.1,midblast,midblast_1
midblast_1.2,midblast,midblast_1
midblast_1.3,midblast,midblast_1
midblast_1.4,midblast,midblast_1
midblast_1.5,midblast,midblast_1
midblast_1.6,midblast,midblast_1
midblast_1.8,midblast,midblast_1
midblast_1.9,midblast,midblast_1
midblast_1.10,midblast,midblast_1
midblast_1.11,midblast,midblast_1
midblast_1.12,midblast,midblast_1
midblast_1.13,midblast,midblast_1
midblast_1.14,midblast,midblast_1
midblast_1.15,midblast,midblast_1
midblast_1.16,midblast,midblast_1
midblast_1.17,midblast,midblast_1
midblast_1.18,midblast,midblast_1
midblast_1.19,midblast,midblast_1
midblast_1.20,midblast,midblast_1
midblast_1.22,midblast,midblast_1
midblast_1.23,midblast,midblast_1
midblast_1.24,midblast,midblast_1
midblast_2.1,midblast,midblast_2
midblast_2.2,midblast,midblast_2
midblast_2.3,midblast,midblast_2
midblast_2.4,midblast,midblast_2
midblast_2.5,midblast,midblast_2
midblast_2.6,midblast,midblast_2
midblast_2.7,midblast,midblast_2
midblast_2.8,midblast,midblast_2
midblast_2.9,midblast,midblast_2
midblast_2.10,midblast,midblast_2
midblast_2.11,midblast,midblast_2
midblast_2.12,midblast,midblast_2
midblast_2.13,midblast,midblast_2
midblast_2.14,midblast,midblast_2
midblast_2.15,midblast,midblast_2
midblast_2.16,midblast,midblast_2
midblast_2.17,midblast,midblast_2
midblast_2.18,midblast,midblast_2
midblast_2.23,midblast,midblast_2
midblast_2.24,midblast,midblast_2
midblast_3.1,midblast,midblast_3
midblast_3.2,midblast,midblast_3
midblast_3.3,midblast,midblast_3
midblast_3.4,midblast,midblast_3
midblast_3.5,midblast,midblast_3
midblast_3.6,midblast,midblast_3
midblast_3.7,midblast,midblast_3
midblast_3.8,midblast,midblast_3
midblast_3.9,midblast,midblast_3
midblast_3.10,midblast,midblast_3
midblast_3.11,midblast,midblast_3
midblast_3.12,midblast,midblast_3
midblast_3.13,midblast,midblast_3
midblast_3.14,midblast,midblast_3
midblast_3.15,midblast,midblast_3
midblast_3.17,midblast,midblast_3
midblast_3.18,midblast,midblast_3
midblast_3.23,midblast,midblast_3
lateblast_1.2,lateblast,lateblast_1
lateblast_1.4,lateblast,lateblast_1
lateblast_1.5,lateblast,lateblast_1
lateblast_1.6,lateblast,lateblast_1
lateblast_1.7,lateblast,lateblast_1
lateblast_1.8,lateblast,lateblast_1
lateblast_1.9,lateblast,lateblast_1
lateblast_1.10,lateblast,lateblast_1
lateblast_1.11,lateblast,lateblast_1
lateblast_1.13,lateblast,lateblast_1
lateblast_1.14,lateblast,lateblast_1
lateblast_1.16,lateblast,lateblast_1
lateblast_1.19,lateblast,lateblast_1
lateblast_1.20,lateblast,lateblast_1
lateblast_1.21,lateblast,lateblast_1
lateblast_1.23,lateblast,lateblast_1
lateblast_1.24,lateblast,lateblast_1
lateblast_1.26,lateblast,lateblast_1
lateblast_1.27,lateblast,lateblast_1
lateblast_2.1,lateblast,lateblast_2
lateblast_2.2,lateblast,lateblast_2
lateblast_2.3,lateblast,lateblast_2
lateblast_2.5,lateblast,lateblast_2
lateblast_2.7,lateblast,lateblast_2
lateblast_2.8,lateblast,lateblast_2
lateblast_2.9,lateblast,lateblast_2
lateblast_2.12,lateblast,lateblast_2
lateblast_2.14,lateblast,lateblast_2
lateblast_2.16,lateblast,lateblast_2
lateblast_2.17,lateblast,lateblast_2
